,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-1412434.805325,-172993.960155,-965183.853371,-11348777.645
Tax Rate For Calcs,0.031283,0.017387,0.106973,0.25
Normalized EBITDA,-3976639.61,11832693.19,2447140.12,8049958.51
Total Unusual Items,-45149885.26,-9949459.88,-9022694.76,-45395110.58
Total Unusual Items Excluding Goodwill,-45149885.26,-9949459.88,-9022694.76,-45395110.58
Net Income From Continuing Operation Net Minority Interest,-88136070.86,-32717919.42,-18109027.64,-102438874.49
Reconciled Depreciation,33238056.9,27964172.99,26543247.96,115453835.91
Reconciled Cost Of Revenue,573303422.39,471156074.48,332721208.52,443134721.12
EBITDA,-49126524.87,1883233.31,-6575554.64,-37345152.07
EBIT,-82364581.77,-26080939.68,-33118802.6,-152798987.98
Net Interest Income,-25829884.45,-13478825.63,-8550524.49,-13132388.16
Interest Expense,27910631.87,13871006.79,8766500.36,12528277.54
Interest Income,2140682.63,432505.28,263782.62,198878.63
Normalized Income,-44398620.405325,-22941453.500155,-10051516.733371,-68392541.555
Net Income From Continuing And Discontinued Operation,-88136070.86,-32717919.42,-18109027.64,-102438874.49
Total Expenses,614724502.0,509982699.72,384660511.05,519801793.52
Total Operating Income As Reported,-111307297.36,-40644385.1,-38092782.37,-162403897.79
Diluted Average Shares,222173105.0,222117579.0,222196658.0,222161949.0
Basic Average Shares,222173105.0,222117579.0,222196658.0,222161949.0
Diluted EPS,-0.3967,-0.1473,-0.0815,-0.4611
Basic EPS,-0.3967,-0.1473,-0.0815,-0.4611
Net Income Common Stockholders,-88136070.86,-32717919.42,-18109027.64,-102438874.49
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-88136070.86,-32717919.42,-18109027.64,-102438874.49
Minority Interests,18689376.54,6539371.71,19295682.86,84921154.2
Net Income Including Noncontrolling Interests,-106825447.4,-39257291.13,-37404710.5,-187360028.69
Net Income Continuous Operations,-106825447.4,-39257291.13,-37404710.5,-187360028.69
Tax Provision,-3449766.24,-694655.34,-4480592.46,22032763.17
Pretax Income,-110275213.64,-39951946.47,-41885302.96,-165327265.52
Other Non Operating Income Expenses,1032083.72,-2434294.38,-3792520.59,-2923367.73
Special Income Charges,-45149885.26,-9949459.88,-9022694.76,-45395110.58
Other Special Charges,313.43,-358625.67,,-2701935.19
Write Off,7195086.04,4724545.46,3548127.3,26380382.06
Impairment Of Capital Assets,37954485.79,5583540.09,5474567.46,21716663.71
Net Non Operating Interest Income Expense,-25829884.45,-13478825.63,-8550524.49,-13132388.16
Total Other Finance Cost,59935.21,40324.12,47806.75,802989.25
Interest Expense Non Operating,27910631.87,13871006.79,8766500.36,12528277.54
Interest Income Non Operating,2140682.63,432505.28,263782.62,198878.63
Operating Income,-39985832.74,-12537656.41,-40766730.69,-104688586.58
Operating Expense,41421079.61,38826625.24,51939302.53,76667072.4
Other Operating Expenses,4874618.15,3877646.36,2784597.44,1329697.2
Depreciation And Amortization In Income Statement,2751539.29,2494833.05,7611202.67,5374566.07
Depreciation Income Statement,2751539.29,2494833.05,7611202.67,5374566.07
Research And Development,9416126.95,5689609.3,11104655.13,17369360.17
Selling General And Administration,7964919.24,8946267.39,11417730.87,25891041.57
Selling And Marketing Expense,1359390.6,689144.83,3018615.69,12460540.88
General And Administrative Expense,6605528.64,8257122.56,8399115.18,13430500.69
Gross Profit,1435246.87,26288968.83,11172571.84,-28021514.18
Cost Of Revenue,573303422.39,471156074.48,332721208.52,443134721.12
Total Revenue,574738669.26,497445043.31,343893780.36,415113206.94
Operating Revenue,574738669.26,497445043.31,343893780.36,415113206.94
