,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,9250162589.0,9298081339.0,3184688415.0,3146423530.0
Share Issued,9250162589.0,9298081339.0,3184688415.0,3146423530.0
Net Debt,,,15705896635.62,14004741716.64
Total Debt,1828255259.35,2318798565.37,23865031268.91,28729067822.98
Tangible Book Value,11183110729.2,9740695962.76,-9061051777.77,1662073730.37
Invested Capital,11641519992.42,10540535718.6,7759896257.22,21175786854.17
Working Capital,618448589.95,-296651505.25,-23262822871.21,-16468847785.17
Net Tangible Assets,11183110729.2,9740695962.76,-9061051777.77,1662073730.37
Capital Lease Obligations,1231210634.81,1417819719.59,2040334765.23,5481296385.79
Common Stock Equity,11420237260.23,9997994841.33,-8729798061.51,2038247705.35
Total Capitalization,11468110470.34,10185304066.33,-4944559734.78,7324835622.09
Total Equity Gross Minority Interest,10181317761.16,8052713804.31,-11355591042.8,3445567784.66
Minority Interest,-1238919499.07,-1945281037.02,-2625792981.29,1407320079.31
Stockholders Equity,11420237260.23,9997994841.33,-8729798061.51,2038247705.35
Other Equity Interest,,,238294664.52,288795437.5
Treasury Stock,55180891.48,696263499.11,495412501.16,1049832053.66
Retained Earnings,-17135643135.41,-17352045218.77,-25880754754.92,-12486384072.12
Additional Paid In Capital,18819421003.41,18227734025.15,13687005226.13,11371601858.95
Capital Stock,9250147589.0,9250147589.0,3137029665.0,3137748530.0
Common Stock,9250147589.0,9250147589.0,3137029665.0,3137748530.0
Total Liabilities Net Minority Interest,8819090138.55,9441416017.57,34828989930.15,43121436505.68
Total Non Current Liabilities Net Minority Interest,3554431568.2,4850157946.23,7345036588.44,11548773161.33
Other Non Current Liabilities,76622665.83,1154660108.87,1114808221.53,65402954.28
Tradeand Other Payables Non Current,2135034839.76,2020111297.66,302412880.08,594660016.74
Non Current Deferred Revenue,51775995.34,54428693.96,87953068.25,119698385.69
Non Current Deferred Taxes Liabilities,11914222.35,15828901.15,14289326.62,1127502.09
Long Term Debt And Capital Lease Obligation,1279083844.92,1605128944.59,5825573091.96,10767884302.53
Long Term Capital Lease Obligation,1231210634.81,1417819719.59,2040334765.23,5481296385.79
Long Term Debt,47873210.11,187309225.0,3785238326.73,5286587916.74
Current Liabilities,5264658570.35,4591258071.34,27483953341.71,31572663344.35
Other Current Liabilities,,,49500000.0,
Current Debt And Capital Lease Obligation,549171414.43,713669620.78,18039458176.95,17961183520.45
Current Debt,173409522.08,355231652.27,12704455992.0,13850951232.08
Payables,4620793635.48,3820277119.42,9280563910.63,13390437186.29
Other Payable,2895709329.8,2083804732.53,3960770687.92,8115642072.8
Dividends Payable,2724461.02,2363735.07,2415311.46,6554169.46
Total Tax Payable,50528548.83,111818964.46,117386186.7,170077308.07
Accounts Payable,1671831295.83,1622289687.36,5199991724.55,5098163635.96
Total Assets,19000407899.71,17494129821.88,23473398887.35,46567004290.34
Total Non Current Assets,13117300739.41,13199523255.79,19252268416.85,31463188731.16
Other Non Current Assets,100422107.83,69242896.99,104328738.64,436866590.75
Non Current Deferred Assets,64019283.04,96876123.02,192642808.76,309874124.05
Non Current Deferred Taxes Assets,12032076.84,18661065.29,23077685.25,16683765.57
Investmentin Financial Assets,88086480.27,88086480.27,20968903.97,20968903.97
Available For Sale Securities,88086480.27,88086480.27,20968903.97,20968903.97
Long Term Equity Investment,160092716.8,112711352.01,251520651.33,166483152.48
Goodwill And Other Intangible Assets,237126531.03,257298878.57,331253716.26,376173974.98
Other Intangible Assets,237126531.03,257298878.57,331253716.26,376173974.98
Goodwill,,,,
Net PPE,11598062352.04,12056959682.82,17285075959.28,27528095747.38
Accumulated Depreciation,-6347795113.95,-5922058999.73,-8360218207.76,-4614887949.2
Gross PPE,17945857465.99,17979018682.55,25645294167.04,32142983696.58
Construction In Progress,3512360253.85,3267735832.9,4063051307.29,3822801178.04
Other Properties,2967442991.48,3259375840.36,4287963883.0,9916229305.97
Machinery Furniture Equipment,2436892103.82,2302690716.72,3434739991.66,3629209484.86
Buildings And Improvements,,,,
Properties,9029162116.84,9149216292.57,13859538985.09,14774743727.71
Current Assets,5883107160.3,4294606566.09,4221130470.5,15103815559.18
Other Current Assets,44368733.44,44455527.59,68814424.97,288313432.64
Prepaid Assets,117584193.88,108720802.32,173594616.78,1142329018.94
Inventory,2009091991.93,1229603283.67,2360273080.69,7329308698.11
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,1556691164.5,1009785665.84,2029757689.53,5824157715.77
Finished Goods,62514566.93,38977980.59,74178586.65,310793133.46
Work In Process,,,0.0,3471378.41
Raw Materials,389886260.5,180839637.24,256336804.51,1190886470.47
Other Receivables,309131392.36,347286841.05,645420170.7,849384652.2
Accounts Receivable,82269381.03,122363359.31,189230494.25,361682325.11
Allowance For Doubtful Accounts Receivable,-109687750.7,-75966443.25,-42724198.08,-137186820.4
Gross Accounts Receivable,191957131.73,198329802.56,231954692.33,498869145.51
Cash Cash Equivalents And Short Term Investments,3320661467.66,2442176752.15,783797683.11,5132797432.18
Cash And Cash Equivalents,3320661467.66,2442176752.15,783797683.11,5132797432.18
Cash Equivalents,64897616.4,8992210.16,329372478.65,3097755274.39
Cash Financial,3255763851.26,2433184541.99,454425204.46,2017634974.68
