,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,2699746081.0,2699746081.0,2699746081.0,2699746081.0
Share Issued,2699746081.0,2699746081.0,2699746081.0,2699746081.0
Net Debt,12845013.69,1255814332.38,529874647.08,
Total Debt,6067259656.23,4390104430.11,2780794639.9,1743967897.36
Tangible Book Value,18627247557.33,16286405310.21,15382903438.82,14765087931.38
Invested Capital,25772864773.18,21768675164.73,18422392616.15,16977209459.35
Working Capital,2207163225.46,2510817942.37,1904519968.04,2925737253.78
Net Tangible Assets,18627247557.33,16286405310.21,15382903438.82,14765087931.38
Capital Lease Obligations,153632174.88,177232783.05,176233861.34,180509457.71
Common Stock Equity,20432751803.12,17849099632.51,16074822915.65,15468385998.54
Total Capitalization,24891615052.6,20556654685.27,17817345234.02,16795356150.88
Total Equity Gross Minority Interest,23506301822.36,19272063071.85,16376681704.27,15784435523.8
Minority Interest,3073550019.24,1422963439.34,301858788.62,316049525.26
Stockholders Equity,20432751803.12,17849099632.51,16074822915.65,15468385998.54
Retained Earnings,11614747017.93,9198535508.79,7625591190.13,7469598571.4
Additional Paid In Capital,4232739100.03,4232767520.03,4232767520.03,4232767520.03
Capital Stock,2699746081.0,2699746081.0,2699746081.0,2699746081.0
Common Stock,2699746081.0,2699746081.0,2699746081.0,2699746081.0
Total Liabilities Net Minority Interest,14701710850.92,9251572689.14,7007125175.12,6842255673.14
Total Non Current Liabilities Net Minority Interest,5532905237.59,3741554046.72,2490779173.84,1938273837.74
Tradeand Other Payables Non Current,85261702.54,105624018.94,108819305.13,88917083.46
Non Current Deferred Revenue,807696696.28,712510626.11,442729155.68,319525013.19
Non Current Deferred Taxes Liabilities,27451414.41,38631565.86,20474533.32,22352131.04
Long Term Debt And Capital Lease Obligation,4612495424.36,2884787835.81,1918756179.71,1507479610.05
Long Term Capital Lease Obligation,153632174.88,177232783.05,176233861.34,180509457.71
Long Term Debt,4458863249.48,2707555052.76,1742522318.37,1326970152.34
Current Liabilities,9168805613.33,5510018642.42,4516346001.28,4903981835.4
Other Current Liabilities,41427230.23,25422714.18,25600803.67,27000006.43
Current Debt And Capital Lease Obligation,1454764231.87,1505316594.3,862038460.19,236488287.31
Current Debt,881249720.58,1212020479.46,605047382.13,181853308.47
Payables,7309740372.26,3732767529.8,3382626692.11,4383794038.61
Other Payable,345839915.15,466228070.85,405343411.78,434259843.44
Dividends Payable,485954294.58,15460869.47,,600000.0
Total Tax Payable,423365846.37,235398703.98,73814533.3,282816610.86
Accounts Payable,6054580316.16,3015679885.5,2903468747.03,3666117584.31
Total Assets,38208012673.28,28523635760.99,23383806879.39,22626691196.94
Total Non Current Assets,26832043834.49,20502799176.2,16962940910.07,14796972107.76
Other Non Current Assets,795976768.66,243507018.65,489227176.41,70635530.94
Non Current Deferred Assets,64098041.82,61943197.98,54071031.57,34459226.43
Non Current Deferred Taxes Assets,150327467.18,133694608.07,114118277.29,157476759.59
Investmentin Financial Assets,1056069778.62,980562475.71,761500475.71,657339275.71
Available For Sale Securities,1056069778.62,980562475.71,761500475.71,657339275.71
Long Term Equity Investment,2651520731.19,2534640570.53,2293228097.41,1851740741.1
Investment Properties,50648695.84,53504498.08,57306165.4,58928468.34
Goodwill And Other Intangible Assets,1805504245.79,1562694322.3,691919476.83,703298067.16
Other Intangible Assets,1261224696.12,1018414772.63,675914865.7,687293456.03
Goodwill,544279549.67,544279549.67,16004611.13,16004611.13
Net PPE,20249938512.2,14922200756.88,12489728587.19,11250152966.21
Accumulated Depreciation,-12103282236.23,-10765874222.99,-9191765186.83,-9078280292.37
Gross PPE,32353220748.43,25688074979.87,21681493774.02,20328433258.58
Construction In Progress,8847633639.29,2934203452.84,2810869524.93,4553204110.47
Other Properties,19552831323.97,18893947225.68,15753110293.75,13220530606.05
Machinery Furniture Equipment,72814825.41,62987060.17,36594533.92,33360455.84
Properties,3879940959.76,3796937241.18,3080919421.42,2521338086.22
Current Assets,11375968838.79,8020836584.79,6420865969.32,7829719089.18
Other Current Assets,852577006.53,237865642.37,501276036.51,469944204.26
Prepaid Assets,144087975.37,205424864.22,113256978.07,76824329.49
Inventory,2470520381.54,2283118773.97,1764164966.99,1727638439.83
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,34427343.32,67442918.52,57124708.42,55575562.42
Finished Goods,1272361938.37,1119620954.03,910544459.51,889742546.71
Work In Process,168461722.91,134375506.94,139434930.08,130503812.02
Raw Materials,995269376.94,961679394.48,657060868.98,651816518.68
Other Receivables,1637713106.27,1814936249.27,1302784079.85,1623437987.08
Accounts Receivable,943802412.71,815729855.12,920560308.29,980426719.78
Allowance For Doubtful Accounts Receivable,,-62199106.16,-62931127.64,-68556888.99
Gross Accounts Receivable,,877928961.28,983491435.93,1048983608.77
Cash Cash Equivalents And Short Term Investments,5327267956.37,2663761199.84,1818823599.61,2951447408.74
Other Short Term Investments,,,1128546.19,404178693.96
Cash And Cash Equivalents,5327267956.37,2663761199.84,1817695053.42,2547268714.78
Cash Equivalents,1439328538.74,1483769806.81,1057154823.11,702915277.95
Cash Financial,1206453802.37,1141238284.09,760540230.31,1844353436.83
