,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,24010546435.72,918431428.42,-16205094220.36,239118368.8
Repayment Of Debt,-124446109188.58,-101349244062.64,-91910909309.97,-74702848106.14
Issuance Of Debt,107156933779.47,115704136828.87,105716625805.89,97969621917.23
Capital Expenditure,-7111242107.71,-21814133827.51,-39740884349.33,-25714852414.63
End Cash Position,23117469543.17,24546461064.45,15025322771.34,20323703829.39
Beginning Cash Position,24546461064.45,15025322771.34,20323703829.39,9589548876.75
Effect Of Exchange Rate Changes,-78614640.82,-126442956.11,70624033.36,671837669.76
Changes In Cash,-1350376880.46,9647581249.22,-5369005091.41,10062317282.88
Financing Cash Flow,-23322730173.07,7817281009.26,9909704155.68,10405416432.21
Net Other Financing Charges,2319038771.48,2903757405.17,1876665514.82,-740684098.83
Cash Dividends Paid,-8352593535.44,-9441369162.14,-5772677855.06,-12120673280.05
Net Issuance Payments Of Debt,-17289175409.11,14354892766.23,13805716495.92,23266773811.09
Net Long Term Debt Issuance,-17289175409.11,14354892766.23,13805716495.92,23266773811.09
Long Term Debt Payments,-124446109188.58,-101349244062.64,-91910909309.97,-74702848106.14
Long Term Debt Issuance,107156933779.47,115704136828.87,105716625805.89,97969621917.23
Investing Cash Flow,-9149435250.82,-20902265015.97,-38814499376.06,-26297069932.76
Net Other Investing Changes,-1166329511.68,504976143.67,425367361.08,-967726207.53
Net Investment Purchase And Sale,-909136165.45,392225931.03,481877144.66,378444205.84
Sale Of Investment,44691031924.11,4887415572.47,5117457846.93,2882252002.75
Purchase Of Investment,-45600168089.56,-4495189641.44,-4635580702.27,-2503807796.91
Net PPE Purchase And Sale,-7073969573.69,-21799467090.67,-39721743881.8,-25707787931.07
Sale Of PPE,37272534.02,14666736.84,19140467.53,7064483.56
Purchase Of PPE,-7111242107.71,-21814133827.51,-39740884349.33,-25714852414.63
Operating Cash Flow,31121788543.43,22732565255.93,23535790128.97,25953970783.43
Change In Working Capital,6537614222.48,-1240265122.52,1875196676.16,6581633916.28
Change In Other Current Assets,-84528612.29,-193898977.21,638698030.86,-685413122.59
Change In Payable,4796724351.74,-2059778395.17,-4369558472.13,9119876604.91
Change In Inventory,-789273961.25,5514431575.73,5972116203.83,-7090734574.98
Change In Receivables,2614692444.28,-4501019325.87,-366059086.4,5237905008.94
Other Non Cash Items,4232877972.95,5184479176.49,5258757058.39,5124687389.08
Depreciation And Amortization,11719952369.51,10358843162.32,9112816818.56,8862351774.91
Amortization Cash Flow,298525849.13,284623661.29,254303592.07,261164423.95
Depreciation,11421426520.38,10074219501.03,8858513226.49,8601187350.96
Gain Loss On Investment Securities,213102136.1,-386014884.92,-508677977.63,46001895.5
Gain Loss On Sale Of PPE,1504018.08,-1912150.11,4564909.89,8794093.17
Net Income From Continuing Operations,7074154414.1,7053006882.53,6904463936.78,2318036950.22
Cash Flowsfromusedin Operating Activities Direct,31121788543.43,22732565255.93,23535790128.97,25953970783.43
Taxes Refund Paid Direct,-11763209756.23,-12489416295.26,-11911458700.5,-5727429366.26
Interest Received Direct,166956866.65,171637620.09,88560362.9,52563354.96
Classesof Cash Payments,-198487829840.31,-247035874040.68,-223506505470.48,-241734357951.15
Other Cash Paymentsfrom Operating Activities,-3650815873.85,-3917828560.85,-2473475871.46,-3635039806.17
Paymentson Behalfof Employees,-5211390550.86,-4783377478.79,-4127786612.89,-3736263307.53
Paymentsto Suppliersfor Goodsand Services,-189625623415.6,-238334668001.04,-216905242986.13,-234363054837.45
Classesof Cash Receiptsfrom Operating Activities,241205871273.32,282086217971.78,258865193937.05,273363194745.88
Other Cash Receiptsfrom Operating Activities,6739156761.52,4870436651.18,5496564458.04,5936292171.41
Receiptsfrom Customers,234466714511.8,277215781320.6,253368629479.01,267426902574.47
