,2021-12-31,2020-12-31
Ordinary Shares Number,277514032.0,277514032.0
Share Issued,277514032.0,277514032.0
Net Debt,3385622000.0,2238755000.0
Total Debt,6119246000.0,3237766000.0
Tangible Book Value,5476213000.0,5102454000.0
Invested Capital,11635978000.0,8368588000.0
Working Capital,366334000.0,687370000.0
Net Tangible Assets,5476213000.0,5102454000.0
Capital Lease Obligations,4064000.0,444000.0
Common Stock Equity,5520796000.0,5131266000.0
Total Capitalization,6397683000.0,5785988000.0
Total Equity Gross Minority Interest,5520796000.0,5131266000.0
Stockholders Equity,5520796000.0,5131266000.0
Other Equity Interest,-438825000.0,-404874000.0
Retained Earnings,970607000.0,679065000.0
Additional Paid In Capital,1314873000.0,1250883000.0
Capital Stock,2775184000.0,2775141000.0
Common Stock,2775184000.0,2775141000.0
Total Liabilities Net Minority Interest,12117799000.0,8054040000.0
Total Non Current Liabilities Net Minority Interest,1657687000.0,1460162000.0
Other Non Current Liabilities,121124000.0,25163000.0
Non Current Pension And Other Postretirement Benefit Plans,2007000.0,1791000.0
Non Current Deferred Revenue,389065000.0,380616000.0
Non Current Deferred Taxes Liabilities,266559000.0,397870000.0
Long Term Debt And Capital Lease Obligation,878932000.0,654722000.0
Long Term Capital Lease Obligation,2045000.0,0.0
Long Term Debt,876887000.0,654722000.0
Current Liabilities,10460112000.0,6593878000.0
Other Current Liabilities,278087000.0,139360000.0
Current Debt And Capital Lease Obligation,5240314000.0,2583044000.0
Current Capital Lease Obligation,2019000.0,444000.0
Current Debt,5238295000.0,2582600000.0
Payables,4937645000.0,3858027000.0
Other Payable,1313989000.0,1006489000.0
Total Tax Payable,62732000.0,24178000.0
Accounts Payable,3560924000.0,2827360000.0
Total Assets,17638595000.0,13185306000.0
Total Non Current Assets,6812149000.0,5904058000.0
Other Non Current Assets,1492000.0,4511000.0
Non Current Deferred Taxes Assets,115358000.0,362397000.0
Investmentin Financial Assets,800000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,800000.0,
Goodwill And Other Intangible Assets,44583000.0,28812000.0
Net PPE,6649916000.0,5508338000.0
Gross PPE,6649916000.0,5508338000.0
Other Properties,6649916000.0,5508338000.0
Current Assets,10826446000.0,7281248000.0
Other Current Assets,1812000.0,6016000.0
Assets Held For Sale Current,,0.0
Prepaid Assets,365853000.0,376645000.0
Inventory,2953056000.0,1598097000.0
Other Receivables,146862000.0,383915000.0
Accounts Receivable,4624955000.0,3716755000.0
Gross Accounts Receivable,4624955000.0,3716755000.0
Cash Cash Equivalents And Short Term Investments,2733908000.0,1199820000.0
Other Short Term Investments,4348000.0,201253000.0
Cash And Cash Equivalents,2729560000.0,998567000.0
