,2021-12-31,2020-12-31
Free Cash Flow,-1436036000.0,965293000.0
Repayment Of Debt,-955129000.0,-1924230000.0
Issuance Of Debt,3895632000.0,4365000.0
Issuance Of Capital Stock,0.0,478750000.0
Capital Expenditure,-1587684000.0,-695562000.0
End Cash Position,2729560000.0,998567000.0
Beginning Cash Position,998567000.0,1038492000.0
Effect Of Exchange Rate Changes,-9611000.0,-41007000.0
Changes In Cash,1740604000.0,1082000.0
Financing Cash Flow,2923401000.0,-1441413000.0
Net Other Financing Charges,95961000.0,-172000.0
Cash Dividends Paid,-111006000.0,
Net Common Stock Issuance,0.0,478750000.0
Common Stock Issuance,0.0,478750000.0
Net Issuance Payments Of Debt,2940503000.0,-1919865000.0
Net Short Term Debt Issuance,2004471000.0,-180665000.0
Short Term Debt Payments,,-180665000.0
Short Term Debt Issuance,2004471000.0,
Net Long Term Debt Issuance,936032000.0,-1739200000.0
Long Term Debt Payments,-955129000.0,-1743565000.0
Long Term Debt Issuance,1891161000.0,4365000.0
Investing Cash Flow,-1334445000.0,-218360000.0
Net Other Investing Changes,46471000.0,2027000.0
Net Investment Purchase And Sale,200035000.0,-178951000.0
Sale Of Investment,200035000.0,-178951000.0
Net Intangibles Purchase And Sale,-34945000.0,-27790000.0
Purchase Of Intangibles,-34945000.0,-27790000.0
Net PPE Purchase And Sale,-1546006000.0,-13646000.0
Sale Of PPE,6733000.0,654126000.0
Purchase Of PPE,-1552739000.0,-667772000.0
Operating Cash Flow,151648000.0,1660855000.0
Taxes Refund Paid,-22595000.0,-23069000.0
Interest Received Cfo,8429000.0,5703000.0
Interest Paid Cfo,-125481000.0,-164562000.0
Change In Working Capital,-1160738000.0,606386000.0
Change In Other Current Liabilities,138727000.0,8930000.0
Change In Other Current Assets,-5177000.0,10498000.0
Change In Payable,716058000.0,457459000.0
Change In Prepaid Assets,10792000.0,66850000.0
Change In Inventory,-1354959000.0,-78137000.0
Change In Receivables,-666395000.0,140570000.0
Other Non Cash Items,93058000.0,121647000.0
Stock Based Compensation,0.0,10260000.0
Provisionand Write Offof Assets,-4512000.0,5148000.0
Depreciation And Amortization,715237000.0,711048000.0
Amortization Cash Flow,19066000.0,12687000.0
Depreciation,696171000.0,698361000.0
Gain Loss On Investment Securities,-3682000.0,
Gain Loss On Sale Of PPE,17126000.0,-353851000.0
Net Income From Continuing Operations,647136000.0,777883000.0
