,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1231872.719181,-653973.751837
Tax Rate For Calcs,0.273021,0.127035
Normalized EBITDA,1492309000.0,1654838000.0
Total Unusual Items,4512000.0,-5148000.0
Total Unusual Items Excluding Goodwill,4512000.0,-5148000.0
Net Income From Continuing Operation Net Minority Interest,470454000.0,679065000.0
Reconciled Depreciation,715237000.0,711048000.0
Reconciled Cost Of Revenue,13906278000.0,10910451000.0
EBITDA,1496821000.0,1649690000.0
EBIT,781584000.0,938642000.0
Net Interest Income,-126019000.0,-155056000.0
Interest Expense,134448000.0,160759000.0
Interest Income,8429000.0,5703000.0
Normalized Income,467173872.719181,683559026.248163
Net Income From Continuing And Discontinued Operation,470454000.0,679065000.0
Total Expenses,15108269000.0,12070178000.0
Diluted NI Availto Com Stockholders,470454000.0,679065000.0
Net Income Common Stockholders,470454000.0,679065000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,470454000.0,679065000.0
Net Income Including Noncontrolling Interests,470454000.0,679065000.0
Net Income Continuous Operations,470454000.0,679065000.0
Tax Provision,176682000.0,98818000.0
Pretax Income,647136000.0,777883000.0
Other Non Operating Income Expenses,123855000.0,384164000.0
Special Income Charges,4512000.0,-5148000.0
Write Off,-4512000.0,5148000.0
Net Non Operating Interest Income Expense,-126019000.0,-155056000.0
Interest Expense Non Operating,134448000.0,160759000.0
Interest Income Non Operating,8429000.0,5703000.0
Operating Income,644788000.0,553923000.0
Operating Expense,1201991000.0,1159727000.0
Research And Development,5310000.0,10095000.0
Selling General And Administration,1196681000.0,1149632000.0
Selling And Marketing Expense,578803000.0,608298000.0
General And Administrative Expense,617878000.0,541334000.0
Gross Profit,1846779000.0,1713650000.0
Cost Of Revenue,13906278000.0,10910451000.0
Total Revenue,15753057000.0,12624101000.0
Operating Revenue,15753057000.0,12624101000.0
