,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-89665370.0,141231379.38,-289706918.12,-222571326.4
Repayment Of Debt,-96000000.0,-50000000.0,-408083524.54,-39429216.48
Issuance Of Debt,534302666.1,37480593.64,241553761.26,184242756.57
Capital Expenditure,-280640556.0,-131589287.21,-124360606.43,-81191161.11
End Cash Position,814175001.88,517693092.22,786264050.83,523670516.51
Beginning Cash Position,517693092.22,786264050.83,523670516.51,658675408.97
Effect Of Exchange Rate Changes,-5353686.55,-1610.89,14503866.4,-2116883.69
Changes In Cash,301835596.21,-268569347.72,248089667.92,-132888008.77
Other Cash Adjustment Inside Changein Cash,-0.01,,,-0.01
Financing Cash Flow,233906778.94,-123842850.13,1881392325.36,102473524.37
Net Other Financing Charges,-177671677.1,-52991183.35,2056046703.35,-11779167.34
Cash Dividends Paid,-26724210.06,-58332260.42,-8124614.71,-30560848.38
Net Issuance Payments Of Debt,438302666.1,-12519406.36,-166529763.28,144813540.09
Net Long Term Debt Issuance,438302666.1,-12519406.36,-166529763.28,144813540.09
Long Term Debt Payments,-96000000.0,-50000000.0,-408083524.54,-39429216.48
Long Term Debt Issuance,534302666.1,37480593.64,241553761.26,184242756.57
Investing Cash Flow,-123046368.72,-417547164.18,-1467956345.75,-93981367.84
Net Other Investing Changes,179373123.45,-191842552.1,-1299422125.0,3109962.46
Net Investment Purchase And Sale,-22050847.58,-125883979.24,-44196974.32,-16061425.22
Sale Of Investment,407949152.42,674848470.76,40303025.68,313938574.78
Purchase Of Investment,-430000000.0,-800732450.0,-84500000.0,-330000000.0
Net Business Purchase And Sale,,27037059.81,,
Sale Of Business,,28150974.69,,
Purchase Of Business,,-1113914.88,,
Net PPE Purchase And Sale,-280368644.59,-126857692.65,-124337246.43,-81029905.08
Sale Of PPE,271911.41,4731594.56,23360.0,161256.03
Purchase Of PPE,-280640556.0,-131589287.21,-124360606.43,-81191161.11
Operating Cash Flow,190975186.0,272820666.59,-165346311.69,-141380165.29
Change In Working Capital,37578520.76,128840923.24,-448232523.17,-418905688.62
Change In Other Current Assets,-31883274.86,-31715814.67,-59620401.4,-13262251.7
Change In Payable,-498829741.94,-60422155.82,207783936.12,122910732.93
Change In Inventory,-1072211.47,58833583.78,-92621798.09,-161133249.34
Change In Receivables,569363749.03,162145309.95,-503774259.8,-367420920.51
Other Non Cash Items,-29568173.8,-35578458.8,-13276556.07,8520697.73
Depreciation And Amortization,80706689.45,67723438.59,46146135.22,34147843.08
Amortization Cash Flow,11536929.18,4688784.7,3451841.71,2639921.68
Depreciation,69169760.27,63034653.89,42694293.51,31507921.4
Gain Loss On Investment Securities,-24358333.52,-45282601.0,13108541.9,-4049729.91
Gain Loss On Sale Of PPE,357144.55,-4618717.67,210554.21,-56049.28
Net Income From Continuing Operations,100571099.07,150071966.59,187091857.59,172996897.33
Cash Flowsfromusedin Operating Activities Direct,190975186.0,272820666.59,-165346311.69,-141380165.29
Taxes Refund Paid Direct,-63955204.97,-23925794.5,-62706892.08,-91996293.87
Classesof Cash Payments,-2497098712.35,-2597756017.17,-2418814382.17,-2336112121.03
Other Cash Paymentsfrom Operating Activities,-760461150.12,-232701293.02,-169097338.82,-213679222.15
Paymentson Behalfof Employees,-725748651.44,-730903631.77,-672136520.09,-484607401.23
Paymentsto Suppliersfor Goodsand Services,-1010888910.79,-1634151092.38,-1577580523.26,-1637825497.65
Classesof Cash Receiptsfrom Operating Activities,2752029103.32,2894502478.26,2316174962.56,2286728249.61
Other Cash Receiptsfrom Operating Activities,393917784.12,141097460.22,99948676.86,68717203.4
Receiptsfrom Customers,2358111319.2,2753405018.04,2216226285.7,2218011046.21
